CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_Germany,Geography_Spain,Exited
437.69672839930473,40.86430095144963,1,11907.108118462755,3,0,0,129695.12714068954,1,1,0
755.5524516028589,56.867022197722164,1,179642.72738535568,2,0,0,73692.85069317091,0,1,1
609.2974771521297,30.08235840904776,2,101770.01668852885,4,0,0,126431.03668678337,1,0,1
466.1744236508588,44.985131086457116,6,105941.63322603946,1,0,1,121289.55025074739,1,1,0
389.2654910578774,76.90666367031893,8,43497.505074554014,4,1,0,92706.77731901269,0,1,1
338.2658826228424,74.61550618353658,7,92455.67955612307,4,1,0,55345.2761424457,1,1,0
482.5143908233508,42.378795384977124,8,181445.15273631475,4,1,0,92080.57578459253,1,1,1
808.153431477304,66.58692983752513,5,64284.95347561123,4,1,0,146777.35230579777,0,0,1
526.6530698704579,66.40962297574019,0,42453.93517945309,2,1,0,50194.47830572103,0,1,0
666.7901558254956,63.88891849678607,3,75766.99944231531,2,0,0,57424.46828952987,0,0,0
770.7975223893017,29.166731614243766,5,125959.04900473583,1,0,1,153193.75866620117,1,0,0
399.7423795921632,50.97713574739296,5,198583.3567260942,3,0,0,131975.8824649905,0,1,1
701.620879712456,64.15104346251651,7,118354.68971227342,3,0,1,90583.8485520472,1,1,0
377.2182076781929,47.43568122062996,0,48295.65252143987,4,0,1,113668.9632267345,1,0,0
412.7106632706264,34.9007307934269,10,101261.37394980903,4,1,1,65844.23403184622,0,0,0
618.4394704588301,22.799971537443778,1,86109.72727340591,2,0,0,81744.58472815741,0,1,1
642.6939769583155,18.80189190310933,1,6379.827987304496,3,1,1,75521.71472799027,0,1,0
822.3448830471586,36.920388565364036,5,97658.49235487595,1,1,1,83346.07592607934,0,1,0
715.1936316889827,47.76668216907842,10,25558.41432960338,4,1,0,116800.37566916888,1,1,1
675.1665303191106,62.51250668138432,6,192845.00107845868,2,0,0,65521.61360530382,1,0,0
549.8058810396058,29.841284127596985,1,137581.54248985072,4,0,1,53434.40054899716,1,0,0
594.4652848148952,66.31228680611692,4,179342.24261944112,4,0,1,121642.17259503757,0,0,0
485.4606160466074,30.347082100408187,5,201145.18542748253,2,1,1,27948.99418497128,0,1,0
748.8697285578181,24.862473073619075,3,194377.2697022432,3,1,0,116684.86752127386,1,0,0
623.8665011979302,77.7460164756414,0,20652.44844051284,3,0,0,65998.05017703158,0,0,1
347.4955749083691,30.660842641555895,2,209504.35692584977,4,1,0,51650.87176609217,1,1,0
548.3987935088078,54.34826765774455,9,184000.6070396153,3,1,1,80745.7392696047,0,0,0
806.8104858376245,51.002276470577435,8,156453.3504833386,2,1,0,27475.635497559557,0,0,0
367.52479282064485,64.10576843798644,5,25957.473946357895,3,0,0,76151.85854222158,0,1,1
826.8931494275578,32.46480739576084,1,40660.587974688715,4,1,0,30059.55961619943,0,0,0
784.4993228051472,51.90189910635314,8,200046.54466622954,4,0,1,88323.92221428224,1,0,0
557.0270173612192,47.23043626988535,3,61578.12874300084,2,0,0,52525.50103436323,0,1,1
566.5281543659099,42.04417681737663,10,31112.770823772327,4,1,1,52280.36044606436,1,1,0
802.623590648578,78.23312326810614,7,85152.59696795893,3,1,1,95631.45772193049,0,0,1
473.4678128699395,73.37401563365553,9,197617.32943438523,2,1,0,103945.11627283086,0,1,1
778.7328648053029,39.35701063852881,6,102657.5117092646,4,0,0,25796.038853121194,1,1,1
348.83147415682123,46.870126081417105,10,200488.308512067,2,0,0,70541.0775212435,0,0,1
443.11180608792813,66.84704950021836,2,76792.83963577969,2,1,1,41244.28918570661,1,0,0
565.1727417166475,79.35115667444842,7,64479.83650331379,3,1,1,121245.37980731382,0,0,0
